X--Trace 1::[interactive: TIME],Y--Trace 1::[vS: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[v0: V(2)],,X--Trace 3::[interactive: TIME],Y--Trace 3::[vD: V(1)-V(2)],,X--Trace 4::[interactive: TIME],Y--Trace 4::[i0: I(R1)]
0,0,,0,-4.675170023081617e-30,,0,4.675170023081617e-30,,0,4.6751700230816166e-42
0.000005208333333333333,0.6108960113027535,,0.000005208333333333333,0.0016954937153409178,,0.000005208333333333333,0.6092005175874126,,0.000005208333333333333,0.00016954937313949748
0.000010416666666666666,1.221789667410185,,0.000010416666666666666,0.46726052009703345,,0.000010416666666666666,0.7545291473131515,,0.000010416666666666666,0.046726083000943344
0.000020833333333333333,2.4435604933122725,,0.000020833333333333333,1.656300871040079,,0.000020833333333333333,0.7872596222721935,,0.000020833333333333333,0.16563346211361593
0.000041666666666666665,4.88697025630312,,0.000041666666666666665,4.076417020904478,,0.000041666666666666665,0.8105532353986415,,0.000041666666666666665,0.40764223931953847
0.00008333333333333333,9.772734725820802,,0.00008333333333333333,8.941864492985735,,0.00008333333333333333,0.8308702328350677,,0.00008333333333333333,0.8941881208551493
0.00016666666666666666,19.535824942343783,,0.00016666666666666666,18.68587837724141,,0.00016666666666666666,0.8499465651023748,,0.00016666666666666666,1.8695891383329573
0.0003333333333333333,38.99455090870959,,0.0003333333333333333,38.12616602481069,,0.0003333333333333333,0.8683848838988979,,0.0003333333333333333,3.813733591501685
0.0006666666666666666,77.37413445537322,,0.0006666666666666666,76.48774411288804,,0.0006666666666666666,0.8863903424851856,,0.0006666666666666666,7.650436639916366
0.0011875,134.6783405889064,,0.0011875,133.77749597877894,,0.0011875,0.9008446101274501,,0.0011875,13.378050170575849
0.0017083333333333334,186.80693362209144,,0.0017083333333333334,185.897572112508,,0.0017083333333333334,0.909361509583448,,0.0017083333333333334,18.59529271449062
0.0022291666666666666,231.7566409587148,,0.0022291666666666666,230.84168612533787,,0.0022291666666666666,0.9149548333769246,,0.0022291666666666666,23.084605106299005
0.00275,267.8000705539164,,0.00275,266.88136395867434,,0.00275,0.9187065952420426,,0.00275,26.688218115142796
0.003270833333333333,293.55209362174077,,0.003270833333333333,292.6310047771038,,0.003270833333333333,0.9210888446369836,,0.003270833333333333,29.26312822358375
0.0037916666666666663,308.02307435759235,,0.0037916666666666663,307.1007127467579,,0.0037916666666666663,0.9223616108344572,,0.0037916666666666663,30.73917496082941
0.0043124999999999995,310.65690108721185,,0.0043124999999999995,309.7343210265364,,0.0043124999999999995,0.9225800606754433,,0.0043124999999999995,30.999898620021458
0.004833333333333333,301.35235732644713,,0.004833333333333333,300.4305679546786,,0.004833333333333333,0.9217893717685115,,0.004833333333333333,30.06654622873173
0.005354166666666666,280.467011473976,,0.005354166666666666,279.54708295600943,,0.005354166666666666,0.9199285179665821,,0.005354166666666666,27.979329617013
0.005874999999999999,248.8034756582721,,0.005874999999999999,247.8866787422861,,0.005874999999999999,0.9167969159859979,,0.005874999999999999,24.788685340963873
0.006395833333333332,207.57856180361742,,0.006395833333333332,206.66646866590222,,0.006395833333333332,0.9120931377152033,,0.006395833333333332,20.66668071705013
0.006916666666666666,158.3765202302484,,0.006916666666666666,157.47145842495942,,0.006916666666666666,0.9050618052889661,,0.006916666666666666,15.7472673226187
0.007437499999999999,103.0881578030066,,0.007437499999999999,102.19427713517697,,0.007437499999999999,0.8938806678296203,,0.007437499999999999,10.220187447853592
0.007958333333333333,43.838175283900185,,0.007958333333333333,42.96670642865664,,0.007958333333333333,0.8714688552435419,,0.007958333333333333,4.296693546380227
0.008479166666666666,-17.09648372663443,,0.008479166666666666,-1.7106483726292295e-10,,0.008479166666666666,-17.096483726463365,,0.008479166666666666,-1.7106483726463365e-11
0.009,-77.37413445537302,,0.009,-7.738413445382533e-10,,0.009,-77.37413445459919,,0.009,-7.738413445459918e-11
0.009520833333333333,-134.67834058890625,,0.009520833333333333,-1.3468834058621246e-9,,0.009520833333333333,-134.67834058755938,,0.009520833333333333,-1.346883405875594e-10
0.010041666666666666,-186.80693362209126,,0.010041666666666666,-1.868169336183549e-9,,0.010041666666666666,-186.8069336202231,,0.010041666666666666,-1.8681693362022311e-10
0.010562499999999999,-231.75664095871474,,0.010562499999999999,-2.3176664095407934e-9,,0.010562499999999999,-231.75664095639706,,0.010562499999999999,-2.3176664095639707e-10
0.011083333333333332,-267.8000705539163,,0.011083333333333332,-2.6781007054856007e-9,,0.011083333333333332,-267.8000705512382,,0.011083333333333332,-2.678100705512382e-10
0.011604166666666665,-293.5520936217407,,0.011604166666666665,-2.935620936158694e-9,,0.011604166666666665,-293.5520936188051,,0.011604166666666665,-2.935620936188051e-10
0.012124999999999999,-308.02307435759235,,0.012124999999999999,-3.080330743514316e-9,,0.012124999999999999,-308.023074354512,,0.012124999999999999,-3.08033074354512e-10
0.012645833333333332,-310.6569010872119,,0.012645833333333332,-3.106669010809985e-9,,0.012645833333333332,-310.65690108410524,,0.012645833333333332,-3.106669010841052e-10
0.013166666666666665,-301.35235732644713,,0.013166666666666665,-3.013623573204198e-9,,0.013166666666666665,-301.3523573234335,,0.013166666666666665,-3.013623573234335e-10
0.013687499999999998,-280.467011473976,,0.013687499999999998,-2.804770114683664e-9,,0.013687499999999998,-280.46701147117125,,0.013687499999999998,-2.8047701147117124e-10
0.014208333333333331,-248.80347565827205,,0.014208333333333331,-2.488134756532957e-9,,0.014208333333333331,-248.80347565578393,,0.014208333333333331,-2.488134756557839e-10
