X--Trace 1::[interactive: TIME],Y--Trace 1::[vS: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[vO: V(2)-V(3)],,X--Trace 3::[interactive: TIME],Y--Trace 3::[vD2: V(1)-V(2)],,X--Trace 4::[interactive: TIME],Y--Trace 4::[vD1: V(3)-V(1)],,X--Trace 5::[interactive: TIME],Y--Trace 5::[iO: -I(R)]
0,0,,0,1.2853776819461936e-29,,0,1.9052173970484125e-19,,0,-1.9052173971769503e-19,,0,1.2853776819461936e-30
0.000005208333333333333,0.6108960113027535,,0.000005208333333333333,1.3453719416300913e-8,,0.000005208333333333333,0.3054538875500269,,0.000005208333333333333,-0.3054539010037463,,0.000005208333333333333,1.3453719416300914e-9
0.000010416666666666666,1.221789667410185,,0.000010416666666666666,0.001749068013790045,,0.000010416666666666666,0.6100206985352024,,0.000010416666666666666,-0.6117697665489924,,0.000010416666666666666,0.0001749068013790045
0.000020833333333333333,2.4435604933122725,,0.000020833333333333333,0.9005555050522278,,0.000020833333333333333,0.771502494130373,,0.000020833333333333333,-1.6720579991826008,,0.000020833333333333333,0.09005555050522279
0.000041666666666666665,4.88697025630312,,0.000041666666666666665,3.277151204237234,,0.000041666666666666665,0.8049095260113592,,0.000041666666666666665,-4.082060730248593,,0.000041666666666666665,0.3277151204237234
0.00008333333333333333,9.772734725820802,,0.00008333333333333333,8.11600705675632,,0.00008333333333333333,0.8283638345323965,,0.00008333333333333333,-8.944370891288717,,0.00008333333333333333,0.811600705675632
0.00016666666666666666,19.535824942343783,,0.00016666666666666666,17.83836048179548,,0.00016666666666666666,0.8487322302742903,,0.00016666666666666666,-18.68709271206977,,0.00016666666666666666,1.783836048179548
0.0003333333333333333,38.99455090870959,,0.0003333333333333333,37.25895776388312,,0.0003333333333333333,0.8677965724133685,,0.0003333333333333333,-38.126754336296486,,0.0003333333333333333,3.725895776388312
0.0006666666666666666,77.37413445537322,,0.0006666666666666666,75.6019517732624,,0.0006666666666666666,0.8860913410555469,,0.0006666666666666666,-76.48804311431795,,0.0006666666666666666,7.56019517732624
0.0011875,134.6783405889064,,0.0011875,132.87700052992028,,0.0011875,0.9006700294931989,,0.0011875,-133.77767055941348,,0.0011875,13.28770005299203
0.0017083333333333334,186.80693362209144,,0.0017083333333333334,184.98846342259918,,0.0017083333333333334,0.9092350997462688,,0.0017083333333333334,-185.89769852234545,,0.0017083333333333334,18.49884634225992
0.0022291666666666666,231.7566409587148,,0.0022291666666666666,229.92693664938523,,0.0022291666666666666,0.9148521546649135,,0.0022291666666666666,-230.84178880405014,,0.0022291666666666666,22.992693664938525
0.00275,267.8000705539164,,0.00275,265.9628357010918,,0.00275,0.9186174264123679,,0.00275,-266.8814531275042,,0.00275,26.596283570109183
0.003270833333333333,293.55209362174077,,0.003270833333333333,291.7100789803552,,0.003270833333333333,0.9210073206928655,,0.003270833333333333,-292.6310863010481,,0.003270833333333333,29.171007898035523
0.0037916666666666663,308.02307435759235,,0.0037916666666666663,306.17850637133927,,0.0037916666666666663,0.9222839931266549,,0.0037916666666666663,-307.1007903644659,,0.0037916666666666663,30.617850637133927
0.0043124999999999995,310.65690108721185,,0.0043124999999999995,308.8118949689436,,0.0043124999999999995,0.9225030591342147,,0.0043124999999999995,-309.7343980280778,,0.0043124999999999995,30.88118949689436
0.004833333333333333,301.35235732644713,,0.004833333333333333,299.50893727320454,,0.004833333333333333,0.9217100266213833,,0.004833333333333333,-300.4306472998259,,0.004833333333333333,29.950893727320455
0.005354166666666666,280.467011473976,,0.005354166666666666,278.62732461978015,,0.005354166666666666,0.9198434270979874,,0.005354166666666666,-279.54716804687814,,0.005354166666666666,27.862732461978016
0.005874999999999999,248.8034756582721,,0.005874999999999999,246.97007345514942,,0.005874999999999999,0.9167011015615003,,0.005874999999999999,-247.88677455671092,,0.005874999999999999,24.697007345514944
0.006395833333333332,207.57856180361742,,0.006395833333333332,205.7546042701129,,0.006395833333333332,0.9119787667524122,,0.006395833333333332,-206.66658303686532,,0.006395833333333332,20.575460427011294
0.006916666666666666,158.3765202302484,,0.006916666666666666,156.56669467505168,,0.006916666666666666,0.9049127775984971,,0.006916666666666666,-157.47160745265018,,0.006916666666666666,15.656669467505168
0.007437499999999999,103.0881578030066,,0.007437499999999999,101.30085053057593,,0.007437499999999999,0.8936536362154754,,0.007437499999999999,-102.1945041667914,,0.007437499999999999,10.130085053057593
0.007958333333333333,43.838175283900185,,0.007958333333333333,42.09629619296293,,0.007958333333333333,0.8709395454687652,,0.007958333333333333,-42.9672357384317,,0.007958333333333333,4.209629619296293
0.008479166666666666,-17.09648372663443,,0.008479166666666666,15.406595346753011,,0.008479166666666666,-16.251539536693866,,0.008479166666666666,0.8449441899408541,,0.008479166666666666,1.5406595346753011
0.009,-77.37413445537302,,0.009,75.60196734628389,,0.009,-76.4880509008286,,0.009,0.8860835545447117,,0.009,7.560196734628389
0.009520833333333333,-134.67834058890625,,0.009520833333333333,132.87700179347993,,0.009520833333333333,-133.77767119119324,,0.009520833333333333,0.9006693977133011,,0.009520833333333333,13.287700179347993
0.010041666666666666,-186.80693362209126,,0.010041666666666666,184.98846335533392,,0.010041666666666666,-185.89769848871273,,0.010041666666666666,0.9092351333788145,,0.010041666666666666,18.498846335533393
0.010562499999999999,-231.75664095871474,,0.010562499999999999,229.92693664844572,,0.010562499999999999,-230.84178880358036,,0.010562499999999999,0.9148521551346391,,0.010562499999999999,22.992693664844573
